Topic,Count,Name,Representation,Representative_Docs
164,17,164_monthly_revenues_billion_june,"['monthly', 'revenues', 'billion', 'june', 'money', 'lot', 'increase', 'gone', 'numbers', 'coming']","['tariff revenues are skyrocketing \n\nthis is the monthly numbers and they have gone up a lot june is set for another big increase of  billion that is money coming into us coffers from tariffs', 'tariff revenues are skyrocketing \n\nthis is the monthly numbers and they have gone up a lot june is set for another big increase of  billion that is money coming into us coffers from tariffs ', 'tariff revenues are skyrocketing \n\nthis is the monthly numbers and they have gone up a lot june is set for another big increase of  billion that is money coming into us coffers from tariffs ']"
165,17,165_understand_estate_clear_he,"['understand', 'estate', 'clear', 'he', 'tantrums', 'morning', 'obviously', 'opinion', 'speech', 'business']","['  trump gave a minute speech at west point this morning honoring cadets talking about their role in keeping america safe while juggling massive national issues like chinas tariff retaliation hitting our farmers and a media thats been ripping him apart  hes also', 'opinion trump doesnt understand business  his tariff tantrums make that clear ', 'opinion trump doesnt understand business  his tariff tantrums make that clear \n']"
166,16,166_amazing_provided_opportunities_followed,"['amazing', 'provided', 'opportunities', 'followed', 'bought', 'love', 'drop', 'month', 'buying', 'stocks']","[' the market drop after trumps tariff policy provided many buying opportunities i followed  bought  stocks and made  in one month\nthis is amazing i love you jesse', ' the market drop after trumps tariff policy provided many buying opportunities i followed  bought  stocks and made  in one month\nthis is amazing i love you jesse', '  the market drop after trumps tariff policy provided many buying opportunities i followed  bought  stocks and made  in one month\nthis is amazing i love you jesse']"
167,16,167_ban_achieve_imposing_sitting,"['ban', 'achieve', 'imposing', 'sitting', 'barely', 'missing', 'store', 'shelves', 'or', 'selling']","['   maybe just maybe she knows that doing virtue singling pointless things are just that im not sure if you have any background training or experience it in policy analysis or trade policy but here is my question \n\nwhat would imposing a tariff or ban on us liquor achieve', '    what would imposing a tariff or ban on us liquor achieve', '   what would imposing a tariff or ban on us liquor achieve']"
168,16,168_minutes_trumptariff_firms_consumers,"['minutes', 'trumptariff', 'firms', 'consumers', 'pass', 'cost', 'fed', 'costs', 'thousands', 'plan']","['us firms plan to pass trump tariff costs to consumers fed minutes ', 'firms plan to pass trumptariff cost to consumers  fed minutes\n\nwell who knew \n ', 'usa firms plan to pass trumptariff costs to consumers fed minutes ']"
169,16,169_imagine_americans_sends_month,"['imagine', 'americans', 'sends', 'month', 'party', 'raising', 'national', 'hard', 'washington', 'tax']","['  the trump national tariff tax takes  billion from hard working americans in just one month and sends it to washington \n\nnow imagine how much the trump tax will cost americans in a year \n\nmaga the party of raising taxes', ' the trump national tariff tax takes  billion from hard working americans in just one month and sends it to washington \n\nnow imagine how much the trump tax will cost americans in a year \n\nmaga the party of raising taxes', ' the trump national tariff tax takes  billion from hard working americans in just one month and sends it to washington \n\nnow imagine how much the trump tax will cost americans in a year \n\nmaga the party of raising taxes']"
170,16,170_reset_total_negotiated_talks,"['reset', 'total', 'negotiated', 'talks', 'progress', 'says', 'underway', 'great', 'uschina', 'being']","['trump says a total reset is being negotiated in the uschina tariff talks with great progress underway ', 'trump says us and china negotiated total reset in tariff talks\n ', 'trump says us and china negotiated total reset in tariff talks donaldtrump china\n']"
171,16,171_admits_economist_genius_top,"['admits', 'economist', 'genius', 'top', 'may', 'president', 'john', 'reversal', 'all', 'economy']","['is trump a genius top economist and tariff skeptic admits president may have outsmarted us all on the economy \nthe art of the deal\n', 'is trump a genius top economist and tariff skeptic admits president may have outsmarted us all on the economy i say yes', 'is trump a genius top economist and tariff skeptic admits president may have outsmarted us all on the economy\n\n']"
172,16,172_congressional_deficits_budget_trillion,"['congressional', 'deficits', 'budget', 'trillion', 'sweeping', 'office', 'purchasing', 'households', 'reducing', 'according']","['washington ap  trumps sweeping tariff plan would cut deficits by  trillion over  years while shrinking the economy raising the inflation rate and reducing the purchasing power of households overall according to an analysis released wednesday by the congressional ', 'trump tariffs would cut deficits by  trillion shrink the economy cbo says\n\npresident trumps sweeping tariff plan would cut deficits by  trillion over  years while shrinking the economy the nonpartisan congressional budget office said\n\n', ' trumps sweeping tariff plan would cut deficits by  trillion over a year period while shrinking the economy raising the inflation rate and reducing the purchasing power of households overall according to an analysis released wednesday by the congressional budget office']"
173,16,173_swamp_crypto_protest_solid,"['swamp', 'crypto', 'protest', 'solid', 'trend', 'heavily', 'bullish', 'payment', 'moving', 'past']","['xrp is up  in just past days good job we got out of the mucky swamp tariff and protest war cant stop us cause trumps economy is rock solid hard and moving heavily upward trend with the rsi and we have a bullish divergence \n\nwe should see new price discovery soon maybe', ' xrp is up  in just past days good job we got out of the mucky swamp tariff and protest war cant stop us cause trumps economy is rock solid hard and moving heavily upward trend with the rsi and we have a bullish divergence \n\nwe should see new price discovery soon maybe', ' xrp is up  in just past days good job we got out of the mucky swamp tariff and protest war cant stop us cause trumps economy is rock solid hard and moving heavily upward trend with the rsi and we have a bullish divergence \n\nwe should see new price discovery soon maybe']"
174,15,174_navarro_lutnick_peter_bessent,"['navarro', 'lutnick', 'peter', 'bessent', 'wsj', 'pause', 'oval', 'advantage', 'took', 'convince']","['treasury sec scott bessent and commerce sec howard lutnick rushed to intercept trump when they knew peter navarro was preoccupied so they could talk him into tariff pause wo navarro pushback they stayed until trump posted on truth social ', 'someone pried the everpresent peter navarro out of the oval office and markets were finally calmed \n\ntreasury secretary scott bessent and commerce secretary howard lutnick were able to convince trump to hit pause on the tariffs while tariff hawk peter navarro was at a meeting', 'peter navarro trumps tariffloving trade adviser was constantly hovering around the oval office \n\nsowhen navarro was scheduled to meet with economic adviser kevin hassett in a different part of the white house bessent and lutnick made their move\nthey rushed to the']"
175,15,175_hes_understand_subsidies_he,"['hes', 'understand', 'subsidies', 'he', 'would', 'him', 'imposing', 'countries', 'government', 'thought']","['  i think you might have that backwards my dude\n\nping is an autocrat who is so busy trying to solve his countrys devastating population problem brought on by  years of a  child policy that he has zero political capital to go toe to toe with us in a long term tariff war', ' he just doesnt understand tariffs\nnow hes saying countries will pay a tariff to shop in the us so hes now putting tariffs on exports', ' shitrael only imports from the us which is provided foc why would anyone tariff a country that controls their government trump doesnt understand tariffs he thinks trade deficits are tariffs against the us how does he not have advisors telling him the truth']"
176,15,176_housing_home_worry_administrations,"['housing', 'home', 'worry', 'administrations', 'immigration', 'republican', 'debt', 'even', 'increases', 'houses']","['how trumps tariff policy could shake up the us housing market\n\n', '  republican policies like the  tax cuts t deficit  gdp debt and  tariffs have raised costs and debt deregulation may worsen housing and inequality not to mention so many businesses going under due to trumps  ridiculous tariff increases economy policyfacts', 'us tariff hike could impact housing prices  nalumisa\n\ngovernment\n']"
177,15,177_cars_canada_says_made,"['cars', 'canada', 'says', 'made', 'drug', 'reuters', 'canadian', 'could', 'go', 'increase']","['trump says  tariff on cars made in canada could go up  reuters smartnews  ', 'trump says  tariff on cars made in canada could go up ', 'trump says  tariff on cars made in canada could go up  cdnpoli']"
178,15,178_states_administration_brief_policy,"['states', 'administration', 'brief', 'policy', 'governor', 'stop', 'international', 'york', 'gov', 'general']","['us states file lawsuit against trump administration over tariff policy\n\n', 'a dozen states sue the trump administration to stop tariff policy\n\n', 'a dozen states sue the trump administration to stop tariff policy\n']"
179,15,179_smoke_canadian_constant_border,"['smoke', 'canadian', 'constant', 'border', 'whitehouse', 'mr', 'canada', 'sick', 'st', 'shot']","['has trump announced the tariff on the canadian wild fire smoke crossing the border', 'mr president trump can we impose a tariff on smoke from canadian wildfires', '\n\nin western pa we are getting a lot of smoke from the canadian wildfires\n\nplease see if you dad can tariff this smoke\n\nthis is the second year of canada smoking on us\n\nthanks']"
180,15,180_conservatives_canadian_linked_lost,"['conservatives', 'canadian', 'linked', 'lost', 'election', 'bigger', 'considering', 'elected', 'majority', 'thinking']","['   i think pierre poilievre did a great job considering the conservatives dropped  after the tariff stuff and his party recovered  of that by election day and the conservatives got their best  share of vote since \ntrump created a nightmare scenario for them and they came', ' i wonder if the loss of his seat as well as that of canadian opposition leader pierre poilievre who also lost his seat is linked to trumps tariff policies just putting it out there as a bigger question', ' i wonder if the loss of his seat as well as that of canadian opposition leader pierre poilievre who also lost his seat is linked to trumps tariff policies just putting it out there as a bigger question']"
181,14,181_tarrifs_tarrif_halt_just,"['tarrifs', 'tarrif', 'halt', 'just', 'orders', 'were', 'happened', 'using', 'doomed', 'already']","['just in trumps adds  tarrifs to ethereum\n\nis it the end of eth ', 'holy cow  if you want to fuel comments on your post just mention the word trump \ni should also remind everyone that trump and tarrifs are not new  again im just reporting the facts trump used tarrifs during his first term on march   trump announced his intention', '\ntrump trumptariff tarrifs tarriffwar vinylrecords records \ntarrifs may affect vinyl manufacturing in usa']"
182,14,182_africa_african_south_importing,"['africa', 'african', 'south', 'importing', 'article', 'nations', 'white', 'suspension', 'intended', 'export']","['in a new article nonres scholar  and junior fellow tani washington unpack the disparate tariff rates african countries are facing from the us the varied african responses and implications for the african growth and opportunity act agoa\n\n', 'tariffhit african nations have little to offer trump\n\n apr \n\n\n\n africa economics trade us ', ' south africa does more business with the us than with neighboring african nations trump said he is matching tariff energy country by country\na lot of german cars are manufactured in south africa\ntalk of bmv and some volkswagen car parts']"
183,14,183_minister_bn_prime_agriculture,"['minister', 'bn', 'prime', 'agriculture', 'critics', 'new', 'onto', 'short', 'importer', 'military']","[' america is our friend and ally  how about you retire as nz prime minister to carry on your  tds globalist agenda\n\nat this rate trump will put a  tariff on nz for working with the enemies of usa', 'deputy prime minister and foreign minister winston peters has sought to silence critics who insist that new zealand should be responding hard and publicly to us president donald trumps tariff policy\n', 'deputy prime minister and foreign minister winston peters has sought to silence critics who insist that new zealand should be responding hard and publicly to us president donald trumps tariff policy  \n']"
184,14,184_savings_individual_tax_possibly,"['savings', 'individual', 'tax', 'possibly', 'income', 'making', 'average', 'benefit', 'billions', 'eat']","[' the average tax savings for an individual earning k is possibly  the trump tariff tax will eat up all this benefit  an individual making k the tax liability is   at k the tax is   a  reduction is  and  not  mtg is wrong', ' the gop lies the average tax savings for an individual earning k is possibly  the trump tariff tax will eat up all this benefit  an individual making over million will have a savings of   who really benefits by the republican tax bill  vote them out', ' generation wealth only for the top  \nthe average tax savings for an individual earning k is possibly  the trump tariff tax will eat up all this benefit  an individual making over million will have a savings of ']"
185,14,185_ccp_chinese_barrel_oppose,"['ccp', 'chinese', 'barrel', 'oppose', 'keeping', 'tarifffree', 'communist', 'nd', 'scheme', 'goal']","['needs to be part of trump  ccp tariff negotiations \n \nsuspected ccp cuba partnership one of the most brazen intelligence operations near us gimenez  \n\n', 'china tariff  ccp wars against america plus covid   add fee for covid damages plus protecting hormuz for ccp oil from iran\nccp stop leveraging us tariffs in africa show some honor \n\n', ' tariff war with china will not work ccp is not elected they can ask people to eat grass for years while paint the us as an evil people at gun point will shout long life ccp while eating shit it happen in s already find an expert of chinese affair or check ccp assets']"
186,14,186_granted_domestically_produces_live,"['granted', 'domestically', 'produces', 'live', 'consumption', 'met', 'worlds', 'exemption', 'bullshit', 'food']","['  do you see how this tariff nonsense doesnt help us at all\n\ndo you see how it cannot remedy the nonproblem that it pretends to address \n\nwe live in a global supply chain taxing ourselves for doing business with the rest of the world wont make coffee beans grow in alaska', 'the national coffee assn lobbied for an exemption from the  tariff and even though it was met favorably by the trump administration it has not been granted us is worlds biggest importerconsumer of coffee and only domestically produces  of its coffee consumption', '  the national coffee assn lobbied for an exemption from the  tariff and even though it was met favorably by the trump administration it has not been granted us is worlds biggest importerconsumer of coffee and only domestically produces  of its coffee consumption']"
187,14,187_chicken_always_out_backfire,"['chicken', 'always', 'out', 'backfire', 'game', 'many', 'via', 'suggested', 'boycott', 'refuse']","['trump loses when he doesnt chicken out\n\ntariffs backfire cocacola respond to trumps tariff by leaving america  via ', ' so do you want tariffs  or not\n\nwhy is trump a chicken if he chooses not to charge a country a tariff\n\ni dont get it', ' the inequality is the restriction on us trade trump is not trying to balance the flow into and out of america as previously suggested he just wants restrictions lifted\n\nus chicken tariff is actually eu law which stop us chicken market from competing with eu chicken market']"
188,14,188_steel_japan_japanese_promised,"['steel', 'japan', 'japanese', 'promised', 'company', 'workers', 'terrorism', 'deal', 'develop', 'taco']","['  must tariff japanese steel  however let a japanese company buy us steel  yeah art of the deal if the deal is a personal favor for trump granted later', ' need to know did trump allow japan to buy us steel  if so why dont give a shit about tariff at what  is us steel owner  why do you think this is good  you promised you promised no foreign comp would ever own a us company   its located in us', '  us steel is in the process of being purchased by japans nippon steel if steel is shipped in from japan how will a  tariff be helpful to the american portion of the merged corporation']"
189,14,189_ports_shipping_empty_port,"['ports', 'shipping', 'empty', 'port', 'impact', 'global', 'does', 'moment', 'east', 'coming']","['are us ports empty and what impact does the tariff have on global shipping whats going on with shipping', 'are us ports empty and what impact does the tariff have on global shipping  via ', 'are us ports empty and what impact does the tariff have on global shipping \n\n via  ']"
190,14,190_network_data_service_trash,"['network', 'data', 'service', 'trash', 'increasing', 'your', 'useless', 'die', 'faster', 'increased']","[' just say your services arent for the average person anymore i dont even blame you  its the government that has failed to regulate the telecom sector you guys keep increasing your data tariff without conscience\n\nsome of us are trying to do tech but data is choking us ', '   una dey mad you increased tariff for what to serve us g in  to steal our data faster your network is trash your customer service is useless and your greed knows no bounds every damn day its pay more get less useless thieves in suits', '  your network is a total failure in this technology age we in at  nigerians are still struggling to gain access to it we subscribe for data and then you disrupt the network allowing us to suffer a loss and our money wasted you increased the data tariff prices']"
191,14,191_factors_take_bn_her,"['factors', 'take', 'bn', 'her', 'should', 'institute', 'long', 'goods', 'sale', 'an']","[' ireland  is putting a  tariff on the usa unless we take rosie odonnel back immediately \n\noprah should go to guadalcanal and learn us history  but then on her side of the island an accidental fire  may happen \nthese spoiled brats need to love  their country', '  all other factors equaledif a us good costs  more than an irish good but a tariff increases the irishs cost by  then the irish must absorb at least  in sale price in reality though several applestooranges factors do get in the way of simple price competition', ' ask ireland if theyre ruled from brussels\n\nthe irish government made a tax deal with apple to bolster their economy and eu closed it down\n\nwe give bn to eu but they didnt take it all but told us what to spend the bit they didnt take on \n\nuk also paid bn in tariffs']"
192,14,192_jobs_layoffs_workers_hundreds,"['jobs', 'layoffs', 'workers', 'hundreds', 'off', 'ford', 'laying', 'five', 'group', 'plants']","['  so ford laying off  workers after the tariff launch will bring back us jobs and manufacturing you dont understand how any of this works and are part of the problem', 'volvo group announces layoffs of hundreds of workers in us facilities amid tariff crisis ', ' tariff layoff tracker mack trucks volvo cut hundreds of jobs as trumps levies pose market uncertainty  \nvolvo group amp mack trucks confirm east coast layoffs steelmaker clevelandcliffs laid off  in michigan and minnesota gm and stellantis ditto ']"
193,13,193_millions_tax_republicans_taxes,"['millions', 'tax', 'republicans', 'taxes', 'healthcare', 'necessary', 'bill', 'cuts', 'eat', 'funds']","[' hey mr murphy can you tell us why if trumps claim that we have raked in millions amp millions of dollars in tariff revenue it is necessary for gop congress to enact a bill that will take millions out of medicaidmedicare funds\nwhy is this bill necessary', ' medicare too gop amp trump betrayed their rural voters bec they will cause their hospitals to close they will go hungry amp lose their healthcare trump attacks the billionaires who backed him by making them eat his tariff expensive goods a good portion of their tax cuts will eat', ' where is president trump getting the funds to vet social media posts from all over the world trump republicans passed tax bill making permanent millionaires tax cut hence from medicaid cuts tariff tax to poor americans']"
194,13,194_scam_assets_bullish_funds,"['scam', 'assets', 'bullish', 'funds', 'stay', 'alert', 'scheme', 'stealing', 'protect', 'investment']","['gsinvestment is a scam taking funds and disappearing without a trace stay alert and safeguard your assets\n\nbullrun bearish trumptariff bullish scam ', 'gsinvestment is a fraudulent scheme stealing funds and disappearing without a trace stay alert and protect your assets\n\nbullrun bearish trumptariff bullish scam ', 'gsinvestment is a scam taking funds and disappearing without a trace stay alert and protect your assets\n\nbullrun bearish trumptariff bullish scam ']"
195,13,195_pm_slap_silly_korea,"['pm', 'slap', 'silly', 'korea', 'south', 'history', 'brief', 'lesson', 'forgot', 'pissed']","[' so why still tariff isreal  south korea singapore  \n\nthe big complaint is we get charged to much well its  with isreal and  with south korea and singapore has a  billion trade deficit with us they need to apply the things they wanted upon those that did it', 'full speech singapore pm wong challenges america amid trump tariff war  via \nwow leaders around the world are not having it discussing history\ni think usa forgot whitewashing history is not going to work \n \nits time to be diplomatic', ' so why us still slap its silly tariff to country like singapore australia netherland and hongkong while us is the one on surplus\nor how you still slap your silly tariff to a country who didnt even give tariff to you such as chille under fta to us since  \nclown']"
196,13,196_gas_savings_figure_pain,"['gas', 'savings', 'figure', 'pain', 'groceries', 'heres', 'claims', 'real', 'fill', 'cheaper']","['trump claims americans gas savings will make up for tariff pain heres the real figure  the daily beast smartnews the truth will prevail ', 'trump claims americans gas savings will make up for tariff pain heres the real figure  the daily beast smartnews  ', 'trump claims americans gas savings will make up for tariff pain heres the real figure  via ']"
197,13,197_export_sweeping_bring_california,"['export', 'sweeping', 'bring', 'california', 'small', 'barriers', 'uncertainty', 'cheaper', 'etc', 'bias']","[' megsy is so fake it should be illegal to sell wine if you didnt grow the grapes etc from your own vineyards good thing here in canada we have a boycott of us wines and alcohol because of the trumps tariff war so this will only be sold in the usa i bet you small  to sell', ' lets bring the california wine back ill pay the extra tariff and you will even more money dont need you to decide for us  if you really want to bring the cost down cut the taxes on the liquors  \n\nbring back california wine ', ' remember no crayfish  wine etc export  the lnp cost us  short memory speers  but jump on steel tariff what a low grade bias  employee  you referred to the  the lnp  as your party election nite  how can viewers expect fair reporting  ']"
198,12,198_bill_russia_mr_russian,"['bill', 'russia', 'mr', 'russian', 'backs', 'backing', 'sanctions', 'enough', 'claimed', 'golf']","['us senators blumenthal and graham say enough is enough and want congress to pass a bipartisan bill with stronger sanctions on russia the bill includes a  tariff on imports from countries buying russian energy they believe this economic pressure is needed after russias', 'trump backs  tariff bill against russia  graham\n\n i was playing golf with him he says its time to move your bill claimed sen lindsey graham the everunhinged warmonger eager to blow up global trade in the name of punishing putin\n\ni have lindsey graham fatigue ', 'trump backs  tariff bill against russia  graham\n\n i was playing golf with him he says its time to move your bill claimed neocon sen lindsey graham ']"
199,12,199_african_africa_chinas_year,"['african', 'africa', 'chinas', 'year', 'whitehouse', 'china', 'results', 'rose', 'exports', 'nations']","['last year us total trade with africa was around  billion while chinas total trade with africa was around  billion\n\nall african nations except eswatini who recognizes taiwan will have tarifffree exports to china\n\n ', 'chinas zerotariff announcement for  african countries reflects strategic openness and winwin cooperation in contrast trumps tariff policies alienate africa and later the us may continue complaining about unsubstantiated predatory lending practice when it looses african ', 'china and  african nations urge the us to resolve trade tensions through equal respectful talks and pledge to expand zerotariff access for all african diplomatic partners  globalsouth africa china ']"
200,12,200_faces_economists_incompetent_billionaire,"['faces', 'economists', 'incompetent', 'billionaire', 'warning', 'scam', 'sparking', 'economy', 'ceos', 'pushes']","['trump faces a trilliondollar tariff disappointment ', 'trump faces a trilliondollar tariff disappointment ', 'trump faces a trilliondollar tariff disappointment ']"
201,12,201_mexico_steel_mexican_finance,"['mexico', 'steel', 'mexican', 'finance', 'close', 'fail', 'link', 'ease', 'warns', 'quota']","['according to bloomberg the us and mexico are close to reaching a deal to cancel president donald trumps proposed  tariff on mexican steel imports and replace it with a new import cap based on historical trade volumes the negotiations are being led by commerce secretary', 'mexico may retaliate over trumps steel tariff says sheinbaum\n\nmexican president sheinbaum threatened to take action against president trumps  steel tariff as soon as next week if negotiations with the us about an exemption fail ', 'the united states and mexico are closing in on a deal to ease steep tariffs on mexican steel through a tariffrate quota trq system\n\nmexico us steel manufacturing industry tariffs tradewar \n\n']"
202,12,202_bills_adding_ill_posting,"['bills', 'adding', 'ill', 'posting', 'criminal', 'any', 'theyd', 'effort', 'receipts', 'anywhere']","['companies are already adding a trump surcharge to bills to deal with tariff price increasesmaking america not great again  ', ' i voted for trump and id vote for him again i give zero fks whether the tariff surcharges are listed anywhere ill do my part and make a concerted effort to support american businessesbusiness owners', ' ill tell you the same thing i told him\n\ni wouldnt care if it wasnt completely politically motivated they never displayed tariff surcharges for any other tariffs implemented by any other president so the only reason theyd do so now is to get people mad at trump']"
203,12,203_gdp_cuts_dei_ignores,"['gdp', 'cuts', 'dei', 'ignores', 'dem', 'revenue', 'energy', 'fire', 'ai', 'inflation']","[' fire the dem corrupted cbo\n\nit assumes  gdp  inflation and \n ignores trumps  gdp  inflation \n\n tax cuts\n doge cuts\n ai productivity \n  bbl energy\n tariff revenue \n regulatory reform \n t foreign inv\n no dei mandates\n usts   interest rates', 'fire the dem corrupted cbo\n\nit assumes  gdp  inflation and \n ignores trumps  gdp  inflation \n\n tax cuts\n doge cuts\n ai productivity \n  bbl energy\n tariff revenue \n regulatory reform \n t foreign inv\n no dei mandates\n usts   interest rates ', ' fire the dem corrupted cbo\n\nit assumes  gdp  inflation and \n ignores trumps  gdp  inflation \n\n tax cuts\n doge cuts\n ai productivity \n  bbl energy\n tariff revenue \n regulatory reform \n t foreign inv\n no dei mandates\n usts  interest rates']"
204,12,204_msnbc_death_approach_donald,"['msnbc', 'death', 'approach', 'donald', 'impact', 'cuts', 'biggest', 'latest', 'surrounding', 'fascist']","['watch death by a thousand cuts approach nicolle wallace on the impact of donald trumps tariff whiplash  ', 'death by a thousand cuts approach nicolle wallace on the impact of donald trumps tariff whiplash  msnbc ', 'death by a thousand cuts approach nicolle wallace on the impact of donald trumps tariff whiplash  msnbc\n via ']"
205,12,205_tourism_ruining_city_falls,"['tourism', 'ruining', 'city', 'falls', 'trip', 'dc', 'york', 'mass', 'industry', 'washington']","[' tourism down  this is why   trump will make americans suffer for his tariff bs  uspoli', 'new york city falls in line with los angeles san francisco washington dc and las vegas as tourism collapses under trump tariff trade war and mass trip cancellations ', 'new york city falls in line with los angeles san francisco washington dc and las vegas as tourism collapses under trump tariff trade war and mass trip cancellations ']"
206,12,206_money_where_promises_question,"['money', 'where', 'promises', 'question', 'taxpayer', 'much', 'did', 'discussing', 'caving', 'questions']","['trumps tariff promises  where did all the money go  via ', '   where is the money trump should have proof to show us  theres no tariff money trump is a grifter thats it', ' question  trump said he would be transparent during his term so where is all the collected tariff money going  technically all the american people are contributing to the tariff collection pot because we are paying higher prices we should know where our money is going']"
207,12,207_apple_phones_iphone_iphones,"['apple', 'phones', 'iphone', 'iphones', 'factory', 'financially', 'payments', 'impossible', 'made', 'manufacturing']","[' even if apple is subject to the  china tariff their phones would still be way cheaper than if made in the us', ' dumbest idea ever apple will eat the tariff reducing their income and tax payments to the federal government why no tariff on the google or motorola phones which are made in china it is financially impossible to bring the manufacturing to the us in the meantime our pension ', ' dumbest idea ever apple will eat the tariff reducing their income and tax payments to the federal government why no tariff on the google or motorola phones which are made in china it is financially impossible to bring the manufacturing to the us in the meantime our pension ']"
208,11,208_retail_sales_fell_purchases,"['retail', 'sales', 'fell', 'purchases', 'beat', 'vehicle', 'april', 'drop', 'pulling', 'rush']","['retail sales mom\ntuesday june     pm utc  \n\n us retail sales  mom may consumer spending slowed amid tariff fears yet beat expectations core sales fell  raising concerns for q gdp momentum  \n\nevent   \n continue  ', 'us retail sales fell by  in may the steepest drop since the start of the year in april they fell by  in march consumers made purchases ahead trumps tariff dictum mays data reflect the effects car amp autopart sales decreased by econ', 'us retail sales dropped more than expected in may weighed down by a decline in motor vehicle purchases as a rush to beat potential tariffrelated price hikes ebbed but consumer spending remains supported by solid wage growth for now   retail landlord']"
209,11,209_video_strategy_donaldtrump_present,"['video', 'strategy', 'donaldtrump', 'present', 'youtube', 'trumps', 'solid', 'challenge', 'upon', 'theory']","['best video ive seen on president trumps tariff strategy and global trade history to date solid  on bretton woods the neoliberal order and our present predicament\n\n', 'why president trumps tariff strategy is so important rumble video\n', 'video lawrence odonnell destroys trumps tariff flipflop donaldtrump\n']"
210,11,210_iran_closing_strength_oil,"['iran', 'closing', 'strength', 'oil', 'china', 'fucked', 'nuclear', 'serious', 'forced', 'started']","[' yes part  trump strength with reality to show that noone wins but we cannot let iran have nuclear iran cannot win show strength to get them to the table peace through strength china and russia joining complicates things add tariff debate put pressure on chinarussia', 'trump calling on china to stop iran from closing strait of hormuzto me he is basically giving china back the power they lose during the tariff war and that even if iran will accept the best thing he would have done is not by siding on one side during this war', 'china got trump from his balls \n\ntrump calls on china to prevent iran from closing the strait of hormuz and disrupting global oil flows trump started a tariff war with china and is now begging them to stop iran']"
211,11,211_covid_pandemic_course_supported,"['covid', 'pandemic', 'course', 'supported', 'reckless', 'related', 'plus', 'times', 'cause', 'far']","['   except bidens administration didnt cause the covid pandemic\n\nhowever trumps administration did cause the tariff war', '  covid was a global pandemic and no one knew what to do at the time\n\nfaucci certainly did not know what to do \n\nthis tariff problem is selfinflicted and he can stop it at any time \n\npresident trump needs permission from maga to change course', 'tariff shock is covid plus plus no wonder bosses are tempted to view it as akin to the pandemic if only the consequences for american big business of mr trumps tradewarmongering are likely to be far more profoundand enduring\n']"
212,11,212_tds_suffering_suffer_chair,"['tds', 'suffering', 'suffer', 'chair', 'scott', 'presidents', 'weak', 'fed', 'bessent', 'many']","[' actually tariff derangement syndrome is what the entire trump administration is suffering from because you all bought into his madness see definition of tds below ', ' tds tariff deranged syndrome ll is the chair   is not an economist so relies on staff team  and other fed presidents how many are woke and tds trump deranged time for those who favor lower rates to be more precise and not give free pass to other fed presidents it is', ' is this trump derangement syndrom tariff derangement syndrom or both \n\nis tds the precursor to wmv like hiv is to aids']"
213,11,213_de_small_exemption_shipments,"['de', 'small', 'exemption', 'shipments', 'exporters', 'spike', 'customs', 'value', 'came', 'last']","['us slashes de minimis tariff on small china parcels to as low as  \n \n', 'us slashes de minimis tariff on small china parcels to as low as  ', 'us slashes de minimis tariff on small china parcels to   fashionnetwork ']"
214,10,214_grok_trillion_estimated_largely,"['grok', 'trillion', 'estimated', 'largely', 'surprised', 'fully', 'loss', 'revenues', 'doesnt', 'elon']","[' according to grok tariff revenues under trumps  policies estimated at  trillion over  could largely or fully mitigate the  trillion revenue loss from the obbbas tax cuts im surprised elon doesnt understand trumps well publicized plan to cut', ' according to grok tariff revenues under trumps  policies estimated at  trillion over  could largely or fully mitigate the  trillion revenue loss from the obbbas tax cuts im surprised elon doesnt understand trumps well publicized plan to cut', '   wow lets see what grok says according to grok tariff revenues under trumps  policies estimated at  trillion over  could largely or fully mitigate the  trillion revenue loss from the obbbas tax cuts im surprised elon doesnt understand']"
215,10,215_deficit_record_fiscal_gap,"['deficit', 'record', 'fiscal', 'gap', 'budget', 'gdp', 'youtube', 'hits', 'pressure', 'posts']","['us budget deficit hit b in may the third largest ever over the past  months the deficit soared to  trillion despite record tariff revenues fiscal pressure is mounting fast \n\nbudgetdeficit usdebt fiscalpressure economy finance moneymatters ', 'just in us posts b may deficit thirdlargest ever as month budget gap hits t despite record tariff revenue\n\nfiscal pressure is rapidly mounting\n\nread more \n\nnews  markets  youtube ', 'just in us posts b may deficit thirdlargest ever as month budget gap hits t despite record tariff revenue\n\nfiscal pressure is rapidly mounting\n\nread more \n\nnews  markets  youtube ']"
216,10,216_car_giant_japanese_moves,"['car', 'giant', 'japanese', 'moves', 'blow', 'massive', 'manufacturing', 'out', 'japan', 'build']","['so much winning \n\nmassive blow to trump as japanese car giant moves manufacturing out of us in tariff twist ', 'massive blow to trump as japanese car giant subaru moves production out of us ', 'massive blow to trump as japanese car giant moves manufacturing out of us in tariff twist\n\n\n']"
217,10,217_deadline_july_european_june,"['deadline', 'july', 'european', 'june', 'union', 'extension', 'request', 'following', 'extending', 'agreed']","['trump extends  tariff deadline on eu to july ', 'erratic indecisive incompetent \n\npresident trump said he was extending the deadline to impose a  percent tariff on the european union to july  from june  following a request from the president of the european commission\n \n', ' via \n\npresident trump said he was extending the deadline to impose a  percent tariff on the european union to july  from june  following a request from ursula von der leyen']"
